ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,7,2022,Gas- Commercial,Y,0,0,
92304,8,2022,Gas- Commercial,Y,0,0,
92304,9,2022,Gas- Commercial,Y,0,0,
92365,7,2022,Gas- Commercial,Y,0,0,
92365,8,2022,Gas- Commercial,Y,0,0,
92365,9,2022,Gas- Commercial,Y,0,0,
93203,7,2022,Gas- Commercial,Y,0,0,
93203,8,2022,Gas- Commercial,Y,0,0,
93203,9,2022,Gas- Commercial,Y,0,0,
93204,7,2022,Gas- Commercial,Y,0,0,
93204,8,2022,Gas- Commercial,Y,0,0,
93204,9,2022,Gas- Commercial,Y,0,0,
93210,7,2022,Gas- Commercial,Y,0,0,
93210,8,2022,Gas- Commercial,Y,0,0,
93210,9,2022,Gas- Commercial,Y,0,0,
93224,7,2022,Gas- Commercial,Y,0,0,
93224,8,2022,Gas- Commercial,Y,0,0,
93224,9,2022,Gas- Commercial,Y,0,0,
93234,7,2022,Gas- Commercial,Y,0,0,
93234,8,2022,Gas- Commercial,Y,0,0,
93234,9,2022,Gas- Commercial,Y,0,0,
93239,7,2022,Gas- Commercial,Y,0,0,
93239,8,2022,Gas- Commercial,Y,0,0,
93239,9,2022,Gas- Commercial,Y,0,0,
93252,7,2022,Gas- Commercial,Y,0,0,
93252,8,2022,Gas- Commercial,Y,0,0,
93252,9,2022,Gas- Commercial,Y,0,0,
93263,7,2022,Gas- Commercial,Y,0,0,
93263,8,2022,Gas- Commercial,Y,0,0,
93263,9,2022,Gas- Commercial,Y,0,0,
93268,7,2022,Gas- Commercial,Y,0,0,
93268,8,2022,Gas- Commercial,Y,0,0,
93268,9,2022,Gas- Commercial,Y,0,0,
93280,7,2022,Gas- Commercial,Y,0,0,
93280,8,2022,Gas- Commercial,Y,0,0,
93280,9,2022,Gas- Commercial,Y,0,0,
93301,7,2022,Gas- Commercial,N,"1,114","89,915",81
93301,8,2022,Gas- Commercial,N,"1,112","87,307",79
93301,9,2022,Gas- Commercial,N,"1,112","89,420",80
93304,7,2022,Gas- Commercial,N,610,"68,539",112
93304,8,2022,Gas- Commercial,N,610,"69,320",114
93304,9,2022,Gas- Commercial,N,607,"70,593",116
93305,7,2022,Gas- Commercial,N,464,"45,199",97
93305,8,2022,Gas- Commercial,N,468,"45,614",97
93305,9,2022,Gas- Commercial,N,469,"45,479",97
93306,7,2022,Gas- Commercial,Y,0,0,
93306,8,2022,Gas- Commercial,Y,0,0,
93306,9,2022,Gas- Commercial,Y,0,0,
93307,7,2022,Gas- Commercial,Y,666,"69,594",104
93307,8,2022,Gas- Commercial,Y,672,"72,717",108
93307,9,2022,Gas- Commercial,Y,669,"76,967",115
93308,7,2022,Gas- Commercial,Y,856,"135,796",159
93308,8,2022,Gas- Commercial,Y,859,"135,093",157
93308,9,2022,Gas- Commercial,Y,858,"139,789",163
93309,7,2022,Gas- Commercial,N,382,"50,325",132
93309,8,2022,Gas- Commercial,N,380,"49,881",131
93309,9,2022,Gas- Commercial,N,378,"52,261",138
93311,7,2022,Gas- Commercial,Y,0,0,
93311,8,2022,Gas- Commercial,Y,0,0,
93311,9,2022,Gas- Commercial,Y,0,0,
93313,7,2022,Gas- Commercial,Y,942,"157,101",167
93313,8,2022,Gas- Commercial,Y,945,"154,906",164
93313,9,2022,Gas- Commercial,Y,946,"160,383",170
93314,7,2022,Gas- Commercial,Y,0,0,
93314,8,2022,Gas- Commercial,Y,0,0,
93314,9,2022,Gas- Commercial,Y,0,0,
93432,7,2022,Gas- Commercial,Y,0,0,
93432,8,2022,Gas- Commercial,Y,0,0,
93432,9,2022,Gas- Commercial,Y,0,0,
93446,7,2022,Gas- Commercial,Y,0,0,
93446,8,2022,Gas- Commercial,Y,0,0,
93446,9,2022,Gas- Commercial,Y,0,0,
93450,7,2022,Gas- Commercial,Y,0,0,
93450,8,2022,Gas- Commercial,Y,0,0,
93450,9,2022,Gas- Commercial,Y,0,0,
93461,7,2022,Gas- Commercial,Y,0,0,
93461,8,2022,Gas- Commercial,Y,0,0,
93461,9,2022,Gas- Commercial,Y,0,0,
93516,7,2022,Gas- Commercial,Y,0,0,
93516,8,2022,Gas- Commercial,Y,0,0,
93516,9,2022,Gas- Commercial,Y,0,0,
93523,7,2022,Gas- Commercial,Y,0,0,
93523,8,2022,Gas- Commercial,Y,0,0,
93523,9,2022,Gas- Commercial,Y,0,0,
