ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,4,2022,Gas- Commercial,Y,0,0,
92304,5,2022,Gas- Commercial,Y,0,0,
92304,6,2022,Gas- Commercial,Y,0,0,
92365,4,2022,Gas- Commercial,Y,0,0,
92365,5,2022,Gas- Commercial,Y,0,0,
92365,6,2022,Gas- Commercial,Y,0,0,
93203,4,2022,Gas- Commercial,Y,0,0,
93203,5,2022,Gas- Commercial,Y,0,0,
93203,6,2022,Gas- Commercial,Y,0,0,
93204,4,2022,Gas- Commercial,Y,0,0,
93204,5,2022,Gas- Commercial,Y,0,0,
93204,6,2022,Gas- Commercial,Y,0,0,
93210,4,2022,Gas- Commercial,Y,0,0,
93210,5,2022,Gas- Commercial,Y,0,0,
93210,6,2022,Gas- Commercial,Y,0,0,
93224,4,2022,Gas- Commercial,Y,0,0,
93224,5,2022,Gas- Commercial,Y,0,0,
93224,6,2022,Gas- Commercial,Y,0,0,
93234,4,2022,Gas- Commercial,Y,0,0,
93234,5,2022,Gas- Commercial,Y,0,0,
93234,6,2022,Gas- Commercial,Y,0,0,
93239,4,2022,Gas- Commercial,Y,0,0,
93239,5,2022,Gas- Commercial,Y,0,0,
93239,6,2022,Gas- Commercial,Y,0,0,
93252,4,2022,Gas- Commercial,Y,0,0,
93252,5,2022,Gas- Commercial,Y,0,0,
93252,6,2022,Gas- Commercial,Y,0,0,
93263,4,2022,Gas- Commercial,Y,0,0,
93263,5,2022,Gas- Commercial,Y,0,0,
93263,6,2022,Gas- Commercial,Y,0,0,
93268,4,2022,Gas- Commercial,Y,0,0,
93268,5,2022,Gas- Commercial,Y,0,0,
93268,6,2022,Gas- Commercial,Y,0,0,
93280,4,2022,Gas- Commercial,Y,0,0,
93280,5,2022,Gas- Commercial,Y,0,0,
93280,6,2022,Gas- Commercial,Y,0,0,
93301,4,2022,Gas- Commercial,N,"1,121","123,542",110
93301,5,2022,Gas- Commercial,Y,"3,059","491,661",161
93301,6,2022,Gas- Commercial,N,"1,122","99,438",89
93304,4,2022,Gas- Commercial,Y,"1,271","245,158",193
93304,5,2022,Gas- Commercial,Y,0,0,
93304,6,2022,Gas- Commercial,N,612,"69,160",113
93305,4,2022,Gas- Commercial,N,461,"60,679",132
93305,5,2022,Gas- Commercial,N,468,"56,920",122
93305,6,2022,Gas- Commercial,N,466,"47,128",101
93306,4,2022,Gas- Commercial,Y,0,0,
93306,5,2022,Gas- Commercial,Y,0,0,
93306,6,2022,Gas- Commercial,Y,0,0,
93307,4,2022,Gas- Commercial,Y,"1,310","309,488",236
93307,5,2022,Gas- Commercial,Y,663,"101,327",153
93307,6,2022,Gas- Commercial,Y,667,"75,283",113
93308,4,2022,Gas- Commercial,Y,860,"182,659",212
93308,5,2022,Gas- Commercial,Y,859,"173,255",202
93308,6,2022,Gas- Commercial,Y,859,"141,716",165
93309,4,2022,Gas- Commercial,Y,0,0,
93309,5,2022,Gas- Commercial,Y,0,0,
93309,6,2022,Gas- Commercial,N,385,"51,967",135
93311,4,2022,Gas- Commercial,Y,0,0,
93311,5,2022,Gas- Commercial,Y,0,0,
93311,6,2022,Gas- Commercial,Y,0,0,
93313,4,2022,Gas- Commercial,Y,0,0,
93313,5,2022,Gas- Commercial,Y,0,0,
93313,6,2022,Gas- Commercial,Y,940,"181,515",193
93314,4,2022,Gas- Commercial,Y,0,0,
93314,5,2022,Gas- Commercial,Y,0,0,
