ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
,,,Gas-,,,,
92304,1,2022,Gas- Commercial,Y,0,0,
92304,2,2022,Gas- Commercial,Y,0,0,
92304,3,2022,Gas- Commercial,Y,0,0,
92365,1,2022,Gas- Commercial,Y,0,0,
92365,2,2022,Gas- Commercial,Y,0,0,
92365,3,2022,Gas- Commercial,Y,0,0,
93203,1,2022,Gas- Commercial,Y,0,0,
93203,2,2022,Gas- Commercial,Y,0,0,
93203,3,2022,Gas- Commercial,Y,0,0,
93204,1,2022,Gas- Commercial,Y,0,0,
93204,2,2022,Gas- Commercial,Y,199,"81,723",411
93204,3,2022,Gas- Commercial,Y,0,0,
93210,1,2022,Gas- Commercial,Y,0,0,
93210,2,2022,Gas- Commercial,Y,0,0,
93210,3,2022,Gas- Commercial,Y,0,0,
93224,1,2022,Gas- Commercial,Y,0,0,
93224,2,2022,Gas- Commercial,Y,0,0,
93224,3,2022,Gas- Commercial,Y,0,0,
93234,1,2022,Gas- Commercial,Y,0,0,
93234,2,2022,Gas- Commercial,Y,0,0,
93234,3,2022,Gas- Commercial,Y,0,0,
93239,1,2022,Gas- Commercial,Y,0,0,
93239,2,2022,Gas- Commercial,Y,0,0,
93239,3,2022,Gas- Commercial,Y,0,0,
93252,1,2022,Gas- Commercial,Y,0,0,
93252,2,2022,Gas- Commercial,Y,0,0,
93252,3,2022,Gas- Commercial,Y,0,0,
93263,1,2022,Gas- Commercial,Y,0,0,
93263,2,2022,Gas- Commercial,Y,0,0,
93263,3,2022,Gas- Commercial,Y,0,0,
93268,1,2022,Gas- Commercial,Y,0,0,
93268,2,2022,Gas- Commercial,Y,0,0,
93268,3,2022,Gas- Commercial,Y,0,0,
93280,1,2022,Gas- Commercial,Y,0,0,
93280,2,2022,Gas- Commercial,Y,0,0,
93280,3,2022,Gas- Commercial,Y,0,0,
93301,1,2022,Gas- Commercial,N,"1,123","332,443",296
93301,2,2022,Gas- Commercial,N,"1,121","258,037",230
93301,3,2022,Gas- Commercial,N,"1,118","188,121",168
93304,1,2022,Gas- Commercial,N,597,"162,893",273
93304,2,2022,Gas- Commercial,N,600,"152,744",255
93304,3,2022,Gas- Commercial,Y,987,"212,699",216
93305,1,2022,Gas- Commercial,N,464,"144,792",312
93305,2,2022,Gas- Commercial,N,461,"118,530",257
93305,3,2022,Gas- Commercial,N,463,"88,578",191
93306,1,2022,Gas- Commercial,N,379,"178,845",472
93306,2,2022,Gas- Commercial,N,384,"148,612",387
93306,3,2022,Gas- Commercial,N,387,"117,203",303
93307,1,2022,Gas- Commercial,Y,659,"296,174",449
93307,2,2022,Gas- Commercial,Y,658,"247,916",377
93307,3,2022,Gas- Commercial,Y,660,"177,546",269
93308,1,2022,Gas- Commercial,Y,469,"171,895",367
93308,2,2022,Gas- Commercial,Y,473,"140,460",297
93308,3,2022,Gas- Commercial,N,471,"109,903",233
93309,1,2022,Gas- Commercial,N,384,"147,831",385
93309,2,2022,Gas- Commercial,N,383,"115,518",302
93309,3,2022,Gas- Commercial,Y,0,0,
93311,1,2022,Gas- Commercial,Y,0,0,
93311,2,2022,Gas- Commercial,Y,0,0,
93311,3,2022,Gas- Commercial,Y,0,0,
93313,1,2022,Gas- Commercial,Y,929,"433,541",467
93313,2,2022,Gas- Commercial,Y,931,"353,931",380
93313,3,2022,Gas- Commercial,Y,936,"272,219",291
93314,1,2022,Gas- Commercial,Y,0,0,
93314,2,2022,Gas- Commercial,Y,0,0,
93314,3,2022,Gas- Commercial,Y,0,0,
93432,1,2022,Gas- Commercial,Y,0,0,
93432,2,2022,Gas- Commercial,Y,0,0,
93432,3,2022,Gas- Commercial,Y,0,0,
93446,1,2022,Gas- Commercial,Y,0,0,
93446,2,2022,Gas- Commercial,Y,0,0,
93446,3,2022,Gas- Commercial,Y,0,0,
93450,1,2022,Gas- Commercial,Y,0,0,
93450,2,2022,Gas- Commercial,Y,0,0,
93450,3,2022,Gas- Commercial,Y,0,0,
93461,1,2022,Gas- Commercial,Y,0,0,
93461,2,2022,Gas- Commercial,Y,0,0,
93461,3,2022,Gas- Commercial,Y,0,0,
93516,1,2022,Gas- Commercial,Y,0,0,
93516,2,2022,Gas- Commercial,Y,0,0,
93516,3,2022,Gas- Commercial,Y,0,0,
93523,1,2022,Gas- Commercial,Y,0,0,
93523,2,2022,Gas- Commercial,Y,0,0,
93523,3,2022,Gas- Commercial,Y,0,0,
93555,1,2022,Gas- Commercial,Y,616,"260,389",423
93555,2,2022,Gas- Commercial,Y,616,"212,322",345
93555,3,2022,Gas- Commercial,Y,612,"143,469",234
93561,1,2022,Gas- Commercial,Y,0,0,
93561,2,2022,Gas- Commercial,Y,0,0,
93561,3,2022,Gas- Commercial,Y,0,0,
93562,1,2022,Gas- Commercial,Y,0,0,
93562,2,2022,Gas- Commercial,Y,0,0,
93562,3,2022,Gas- Commercial,Y,0,0,
93608,1,2022,Gas- Commercial,Y,0,0,
93608,2,2022,Gas- Commercial,Y,0,0,
93608,3,2022,Gas- Commercial,Y,0,0,
93610,1,2022,Gas- Commercial,Y,0,0,
93610,2,2022,Gas- Commercial,Y,0,0,
93610,3,2022,Gas- Commercial,Y,0,0,
93611,1,2022,Gas- Commercial,Y,0,0,
93611,2,2022,Gas- Commercial,Y,0,0,
93611,3,2022,Gas- Commercial,Y,0,0,
93612,1,2022,Gas- Commercial,Y,"1,477","689,065",467
93612,2,2022,Gas- Commercial,Y,0,0,
93612,3,2022,Gas- Commercial,Y,"3,032","923,561",305
93616,1,2022,Gas- Commercial,Y,0,0,
93616,2,2022,Gas- Commercial,Y,0,0,
93616,3,2022,Gas- Commercial,Y,0,0,
93619,1,2022,Gas- Commercial,Y,0,0,
93619,2,2022,Gas- Commercial,Y,0,0,
93619,3,2022,Gas- Commercial,Y,0,0,
93620,1,2022,Gas- Commercial,Y,0,0,
93620,2,2022,Gas- Commercial,Y,0,0,
93620,3,2022,Gas- Commercial,Y,0,0,
93622,1,2022,Gas- Commercial,Y,0,0,
93622,2,2022,Gas- Commercial,Y,0,0,
93622,3,2022,Gas- Commercial,Y,0,0,
93625,1,2022,Gas- Commercial,Y,0,0,
93625,2,2022,Gas- Commercial,Y,0,0,
93625,3,2022,Gas- Commercial,Y,0,0,
93627,1,2022,Gas- Commercial,Y,0,0,
93627,2,2022,Gas- Commercial,Y,0,0,
93627,3,2022,Gas- Commercial,Y,0,0,
93630,1,2022,Gas- Commercial,Y,667,"310,446",465
93630,2,2022,Gas- Commercial,Y,0,0,
93630,3,2022,Gas- Commercial,Y,0,0,
93635,1,2022,Gas- Commercial,Y,590,"207,452",352
93635,2,2022,Gas- Commercial,Y,0,0,
93635,3,2022,Gas- Commercial,N,470,"110,346",235
93636,1,2022,Gas- Commercial,Y,0,0,
93636,2,2022,Gas- Commercial,Y,0,0,
93636,3,2022,Gas- Commercial,Y,0,0,
93637,1,2022,Gas- Commercial,Y,835,"509,313",610
93637,2,2022,Gas- Commercial,Y,"1,082","607,287",561
93637,3,2022,Gas- Commercial,Y,835,"406,979",487
93638,1,2022,Gas- Commercial,N,321,"138,045",430
93638,2,2022,Gas- Commercial,N,318,"116,846",367
93638,3,2022,Gas- Commercial,N,316,"90,979",288
93640,1,2022,Gas- Commercial,Y,0,0,
93640,2,2022,Gas- Commercial,Y,0,0,
93640,3,2022,Gas- Commercial,Y,0,0,
93650,1,2022,Gas- Commercial,N,113,"31,178",276
93650,2,2022,Gas- Commercial,N,112,"22,912",205
93650,3,2022,Gas- Commercial,N,112,"17,017",152
93657,1,2022,Gas- Commercial,Y,0,0,
93657,2,2022,Gas- Commercial,Y,0,0,
93657,3,2022,Gas- Commercial,Y,0,0,
93660,1,2022,Gas- Commercial,Y,0,0,
93660,2,2022,Gas- Commercial,Y,0,0,
93660,3,2022,Gas- Commercial,Y,0,0,
93662,1,2022,Gas- Commercial,Y,0,0,
93662,2,2022,Gas- Commercial,Y,0,0,
93662,3,2022,Gas- Commercial,Y,"1,012","387,160",383
93668,1,2022,Gas- Commercial,Y,0,0,
93668,2,2022,Gas- Commercial,Y,0,0,
93668,3,2022,Gas- Commercial,Y,0,0,
93701,1,2022,Gas- Commercial,Y,0,0,
93701,2,2022,Gas- Commercial,Y,0,0,
93701,3,2022,Gas- Commercial,Y,0,0,
93702,1,2022,Gas- Commercial,Y,0,0,
93702,2,2022,Gas- Commercial,Y,0,0,
93702,3,2022,Gas- Commercial,Y,0,0,
93703,1,2022,Gas- Commercial,Y,931,"320,433",344
93703,2,2022,Gas- Commercial,Y,0,0,
93703,3,2022,Gas- Commercial,Y,0,0,
93704,1,2022,Gas- Commercial,Y,0,0,
93704,2,2022,Gas- Commercial,Y,0,0,
93704,3,2022,Gas- Commercial,Y,0,0,
93705,1,2022,Gas- Commercial,Y,0,0,
93705,2,2022,Gas- Commercial,Y,0,0,
93705,3,2022,Gas- Commercial,Y,0,0,
93706,1,2022,Gas- Commercial,Y,"2,005","1,692,892",844
93706,2,2022,Gas- Commercial,Y,0,0,
93706,3,2022,Gas- Commercial,Y,0,0,
93710,1,2022,Gas- Commercial,Y,0,0,
93710,2,2022,Gas- Commercial,Y,0,0,
93710,3,2022,Gas- Commercial,Y,0,0,
93711,1,2022,Gas- Commercial,Y,"1,200","349,931",292
93711,2,2022,Gas- Commercial,Y,"1,198","276,262",231
93711,3,2022,Gas- Commercial,Y,"5,003","2,070,179",414
93720,1,2022,Gas- Commercial,Y,"1,957","879,587",449
93720,2,2022,Gas- Commercial,Y,"3,436","1,247,749",363
93720,3,2022,Gas- Commercial,Y,"1,956","534,979",274
93721,1,2022,Gas- Commercial,Y,0,0,
93721,2,2022,Gas- Commercial,Y,0,0,
93721,3,2022,Gas- Commercial,Y,0,0,
93722,1,2022,Gas- Commercial,Y,933,"385,818",414
93722,2,2022,Gas- Commercial,Y,"2,943","1,707,981",580
93722,3,2022,Gas- Commercial,Y,0,0,
93723,1,2022,Gas- Commercial,Y,0,0,
93723,2,2022,Gas- Commercial,Y,0,0,
93723,3,2022,Gas- Commercial,Y,0,0,
93725,1,2022,Gas- Commercial,Y,0,0,
93725,2,2022,Gas- Commercial,Y,0,0,
93725,3,2022,Gas- Commercial,Y,0,0,
93726,1,2022,Gas- Commercial,Y,"1,226","559,610",456
93726,2,2022,Gas- Commercial,Y,"1,768","591,148",334
93726,3,2022,Gas- Commercial,Y,0,0,
93727,1,2022,Gas- Commercial,Y,"1,872","893,357",477
93727,2,2022,Gas- Commercial,Y,"2,262","848,963",375
93727,3,2022,Gas- Commercial,Y,"1,407","398,162",283
93728,1,2022,Gas- Commercial,Y,0,0,
93728,2,2022,Gas- Commercial,Y,0,0,
93728,3,2022,Gas- Commercial,Y,0,0,
93730,1,2022,Gas- Commercial,Y,0,0,
93730,2,2022,Gas- Commercial,Y,0,0,
93730,3,2022,Gas- Commercial,Y,0,0,
93737,1,2022,Gas- Commercial,Y,0,0,
93737,2,2022,Gas- Commercial,Y,0,0,
93737,3,2022,Gas- Commercial,Y,0,0,
93740,1,2022,Gas- Commercial,Y,0,0,
93740,2,2022,Gas- Commercial,Y,0,0,
93740,3,2022,Gas- Commercial,Y,0,0,
93741,1,2022,Gas- Commercial,Y,0,0,
93741,2,2022,Gas- Commercial,Y,0,0,
93741,3,2022,Gas- Commercial,Y,0,0,
