ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
93616,10,2022,Gas- Commercial,Y,0,0,
93616,11,2022,Gas- Commercial,Y,0,0,
93616,12,2022,Gas- Commercial,Y,0,0,
93619,10,2022,Gas- Commercial,Y,0,0,
93619,11,2022,Gas- Commercial,Y,0,0,
93619,12,2022,Gas- Commercial,Y,0,0,
93620,10,2022,Gas- Commercial,Y,0,0,
93620,11,2022,Gas- Commercial,Y,0,0,
93620,12,2022,Gas- Commercial,Y,0,0,
93622,10,2022,Gas- Commercial,Y,0,0,
93622,11,2022,Gas- Commercial,Y,0,0,
93622,12,2022,Gas- Commercial,Y,0,0,
93625,10,2022,Gas- Commercial,Y,0,0,
93625,11,2022,Gas- Commercial,Y,0,0,
93625,12,2022,Gas- Commercial,Y,0,0,
93627,10,2022,Gas- Commercial,Y,0,0,
93627,11,2022,Gas- Commercial,Y,0,0,
93627,12,2022,Gas- Commercial,Y,0,0,
93630,10,2022,Gas- Commercial,Y,0,0,
93630,11,2022,Gas- Commercial,Y,0,0,
93630,12,2022,Gas- Commercial,Y,0,0,
93635,10,2022,Gas- Commercial,Y,0,0,
93635,11,2022,Gas- Commercial,Y,601,"174,993",291
93635,12,2022,Gas- Commercial,Y,602,"242,090",402
93636,10,2022,Gas- Commercial,Y,0,0,
93636,11,2022,Gas- Commercial,Y,0,0,
93636,12,2022,Gas- Commercial,Y,0,0,
93637,10,2022,Gas- Commercial,Y,"1,219","432,753",355
93637,11,2022,Gas- Commercial,Y,"1,077","525,426",488
93637,12,2022,Gas- Commercial,Y,845,"579,132",685
93638,10,2022,Gas- Commercial,Y,0,0,
93638,11,2022,Gas- Commercial,N,318,"124,060",390
93638,12,2022,Gas- Commercial,N,321,"152,769",476
93640,10,2022,Gas- Commercial,Y,0,0,
93640,11,2022,Gas- Commercial,Y,0,0,
93640,12,2022,Gas- Commercial,Y,0,0,
93650,10,2022,Gas- Commercial,N,109,"9,934",91
93650,11,2022,Gas- Commercial,N,109,"20,297",186
93650,12,2022,Gas- Commercial,N,109,"27,044",248
93657,10,2022,Gas- Commercial,Y,0,0,
93657,11,2022,Gas- Commercial,Y,0,0,
93657,12,2022,Gas- Commercial,Y,0,0,
93660,10,2022,Gas- Commercial,Y,0,0,
93660,11,2022,Gas- Commercial,Y,0,0,
93660,12,2022,Gas- Commercial,Y,0,0,
93662,10,2022,Gas- Commercial,N,366,"59,115",162
93662,11,2022,Gas- Commercial,Y,676,"286,558",424
93662,12,2022,Gas- Commercial,Y,0,0,
93668,10,2022,Gas- Commercial,Y,0,0,
93668,11,2022,Gas- Commercial,Y,0,0,
93668,12,2022,Gas- Commercial,Y,0,0,
93701,10,2022,Gas- Commercial,Y,0,0,
93701,11,2022,Gas- Commercial,Y,0,0,
93701,12,2022,Gas- Commercial,Y,0,0,
93702,10,2022,Gas- Commercial,Y,0,0,
93702,11,2022,Gas- Commercial,Y,0,0,
93702,12,2022,Gas- Commercial,Y,0,0,
93703,10,2022,Gas- Commercial,Y,0,0,
93703,11,2022,Gas- Commercial,Y,0,0,
93703,12,2022,Gas- Commercial,Y,920,"335,993",365
93704,10,2022,Gas- Commercial,Y,0,0,
93704,11,2022,Gas- Commercial,Y,0,0,
93704,12,2022,Gas- Commercial,Y,0,0,
93705,10,2022,Gas- Commercial,Y,0,0,
93705,11,2022,Gas- Commercial,Y,204,"78,732",386
93705,12,2022,Gas- Commercial,Y,0,0,
93706,10,2022,Gas- Commercial,Y,0,0,
93706,11,2022,Gas- Commercial,Y,0,0,
93706,12,2022,Gas- Commercial,Y,"2,409","2,051,214",851
93710,10,2022,Gas- Commercial,Y,0,0,
93710,11,2022,Gas- Commercial,Y,0,0,
93710,12,2022,Gas- Commercial,Y,0,0,
93711,10,2022,Gas- Commercial,Y,"7,683","1,825,721",238
93711,11,2022,Gas- Commercial,Y,"1,208","276,671",229
93711,12,2022,Gas- Commercial,Y,"1,210","374,896",310
93720,10,2022,Gas- Commercial,Y,"3,827","843,425",220
93720,11,2022,Gas- Commercial,Y,"3,460","1,382,260",399
93720,12,2022,Gas- Commercial,Y,"1,074","536,364",499
93721,10,2022,Gas- Commercial,Y,0,0,
93721,11,2022,Gas- Commercial,Y,0,0,
93721,12,2022,Gas- Commercial,Y,0,0,
93722,10,2022,Gas- Commercial,Y,0,0,
93722,11,2022,Gas- Commercial,Y,"2,948","1,786,537",606
93722,12,2022,Gas- Commercial,N,931,"392,607",422
93723,10,2022,Gas- Commercial,Y,0,0,
93723,11,2022,Gas- Commercial,Y,0,0,
93723,12,2022,Gas- Commercial,Y,0,0,
93725,10,2022,Gas- Commercial,Y,0,0,
93725,11,2022,Gas- Commercial,Y,0,0,
93725,12,2022,Gas- Commercial,Y,0,0,
93726,10,2022,Gas- Commercial,Y,0,0,
93726,11,2022,Gas- Commercial,Y,"1,563","568,546",364
93726,12,2022,Gas- Commercial,Y,"1,226","625,505",510
93727,10,2022,Gas- Commercial,Y,0,0,
93727,11,2022,Gas- Commercial,Y,"1,797","661,280",368
93727,12,2022,Gas- Commercial,Y,"1,894","1,002,733",529
93728,10,2022,Gas- Commercial,Y,0,0,
93728,11,2022,Gas- Commercial,Y,0,0,
93728,12,2022,Gas- Commercial,Y,0,0,
93730,10,2022,Gas- Commercial,Y,0,0,
93730,11,2022,Gas- Commercial,Y,0,0,
93730,12,2022,Gas- Commercial,Y,0,0,
93737,10,2022,Gas- Commercial,Y,0,0,
93737,11,2022,Gas- Commercial,Y,0,0,
93737,12,2022,Gas- Commercial,Y,0,0,
93740,10,2022,Gas- Commercial,Y,0,0,
93740,11,2022,Gas- Commercial,Y,0,0,
93740,12,2022,Gas- Commercial,Y,0,0,
93741,10,2022,Gas- Commercial,Y,0,0,
93741,11,2022,Gas- Commercial,Y,0,0,
