ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,4,2023,Gas- Commercial,Y,0,0,
92304,5,2023,Gas- Commercial,Y,0,0,
92304,6,2023,Gas- Commercial,Y,0,0,
92365,4,2023,Gas- Commercial,Y,0,0,
92365,5,2023,Gas- Commercial,Y,0,0,
92365,6,2023,Gas- Commercial,Y,0,0,
93203,4,2023,Gas- Commercial,Y,0,0,
93203,5,2023,Gas- Commercial,Y,0,0,
93203,6,2023,Gas- Commercial,Y,0,0,
93204,4,2023,Gas- Commercial,Y,0,0,
93204,5,2023,Gas- Commercial,Y,0,0,
93204,6,2023,Gas- Commercial,Y,0,0,
93210,4,2023,Gas- Commercial,Y,0,0,
93210,5,2023,Gas- Commercial,Y,0,0,
93210,6,2023,Gas- Commercial,Y,0,0,
93224,4,2023,Gas- Commercial,Y,0,0,
93224,5,2023,Gas- Commercial,Y,0,0,
93224,6,2023,Gas- Commercial,Y,0,0,
93234,4,2023,Gas- Commercial,Y,0,0,
93234,5,2023,Gas- Commercial,Y,0,0,
93234,6,2023,Gas- Commercial,Y,0,0,
93239,4,2023,Gas- Commercial,Y,0,0,
93239,5,2023,Gas- Commercial,Y,0,0,
93239,6,2023,Gas- Commercial,Y,0,0,
93252,4,2023,Gas- Commercial,Y,0,0,
93252,5,2023,Gas- Commercial,Y,0,0,
93252,6,2023,Gas- Commercial,Y,0,0,
93263,4,2023,Gas- Commercial,Y,0,0,
93263,5,2023,Gas- Commercial,Y,0,0,
93263,6,2023,Gas- Commercial,Y,0,0,
93268,4,2023,Gas- Commercial,Y,0,0,
93268,5,2023,Gas- Commercial,Y,0,0,
93268,6,2023,Gas- Commercial,Y,0,0,
93280,4,2023,Gas- Commercial,Y,0,0,
93280,5,2023,Gas- Commercial,Y,0,0,
93280,6,2023,Gas- Commercial,Y,0,0,
93301,4,2023,Gas- Commercial,Y,"2,166","358,650",166
93301,5,2023,Gas- Commercial,N,"1,118","109,813",98
93301,6,2023,Gas- Commercial,N,"1,117","101,124",91
93304,4,2023,Gas- Commercial,Y,0,0,
93304,5,2023,Gas- Commercial,N,591,"85,636",145
