ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,7,2023,Gas- Commercial,Y,0,0,
92304,8,2023,Gas- Commercial,Y,0,0,
92304,9,2023,Gas- Commercial,Y,0,0,
92365,7,2023,Gas- Commercial,Y,0,0,
92365,8,2023,Gas- Commercial,Y,0,0,
92365,9,2023,Gas- Commercial,Y,0,0,
93203,7,2023,Gas- Commercial,Y,0,0,
93203,8,2023,Gas- Commercial,Y,0,0,
93203,9,2023,Gas- Commercial,Y,0,0,
93204,7,2023,Gas- Commercial,Y,0,0,
93204,8,2023,Gas- Commercial,Y,0,0,
93204,9,2023,Gas- Commercial,Y,0,0,
93210,7,2023,Gas- Commercial,Y,0,0,
93210,8,2023,Gas- Commercial,Y,0,0,
93210,9,2023,Gas- Commercial,Y,0,0,
93224,7,2023,Gas- Commercial,Y,0,0,
93224,8,2023,Gas- Commercial,Y,0,0,
93224,9,2023,Gas- Commercial,Y,0,0,
93234,7,2023,Gas- Commercial,Y,0,0,
93234,8,2023,Gas- Commercial,Y,0,0,
93234,9,2023,Gas- Commercial,Y,0,0,
93239,7,2023,Gas- Commercial,Y,0,0,
93239,8,2023,Gas- Commercial,Y,0,0,
93239,9,2023,Gas- Commercial,Y,0,0,
93252,7,2023,Gas- Commercial,Y,0,0,
93252,8,2023,Gas- Commercial,Y,0,0,
93252,9,2023,Gas- Commercial,Y,0,0,
93263,7,2023,Gas- Commercial,Y,0,0,
93263,8,2023,Gas- Commercial,Y,0,0,
93263,9,2023,Gas- Commercial,Y,0,0,
93268,7,2023,Gas- Commercial,Y,0,0,
93268,8,2023,Gas- Commercial,Y,0,0,
93268,9,2023,Gas- Commercial,Y,0,0,
93280,7,2023,Gas- Commercial,Y,0,0,
93280,8,2023,Gas- Commercial,Y,0,0,
93280,9,2023,Gas- Commercial,Y,0,0,
93301,7,2023,Gas- Commercial,N,"1,113","83,172",75
93301,8,2023,Gas- Commercial,N,"1,112","86,559",78
93301,9,2023,Gas- Commercial,N,"1,111","89,559",81
93304,7,2023,Gas- Commercial,N,588,"74,891",127
93304,8,2023,Gas- Commercial,N,588,"77,261",131
93304,9,2023,Gas- Commercial,N,588,"78,609",134
93305,7,2023,Gas- Commercial,N,461,"44,677",97
93305,8,2023,Gas- Commercial,N,459,"46,874",102
93305,9,2023,Gas- Commercial,N,462,"51,114",111
93306,7,2023,Gas- Commercial,Y,0,0,
93306,8,2023,Gas- Commercial,Y,0,0,
93306,9,2023,Gas- Commercial,Y,0,0,
93307,7,2023,Gas- Commercial,Y,645,"70,619",109
93307,8,2023,Gas- Commercial,Y,641,"75,495",118
93307,9,2023,Gas- Commercial,Y,640,"76,733",120
93308,7,2023,Gas- Commercial,Y,843,"134,516",160
93308,8,2023,Gas- Commercial,Y,845,"139,842",165
93308,9,2023,Gas- Commercial,Y,846,"143,577",170
93309,7,2023,Gas- Commercial,N,379,"48,291",127
93309,8,2023,Gas- Commercial,N,379,"49,517",131
93309,9,2023,Gas- Commercial,N,374,"51,033",136
93311,7,2023,Gas- Commercial,Y,0,0,
93311,8,2023,Gas- Commercial,Y,0,0,
93311,9,2023,Gas- Commercial,Y,0,0,
93313,7,2023,Gas- Commercial,Y,949,"140,737",148
93313,8,2023,Gas- Commercial,Y,948,"144,518",152
93313,9,2023,Gas- Commercial,Y,948,"147,684",156
93314,7,2023,Gas- Commercial,Y,0,0,
93314,8,2023,Gas- Commercial,Y,0,0,
93314,9,2023,Gas- Commercial,Y,0,0,
93432,7,2023,Gas- Commercial,Y,0,0,
93432,8,2023,Gas- Commercial,Y,0,0,
93432,9,2023,Gas- Commercial,Y,0,0,
93446,7,2023,Gas- Commercial,Y,0,0,
93446,8,2023,Gas- Commercial,Y,0,0,
93446,9,2023,Gas- Commercial,Y,0,0,
93450,7,2023,Gas- Commercial,Y,0,0,
93450,8,2023,Gas- Commercial,Y,0,0,
93450,9,2023,Gas- Commercial,Y,0,0,
93461,7,2023,Gas- Commercial,Y,0,0,
93461,8,2023,Gas- Commercial,Y,0,0,
93461,9,2023,Gas- Commercial,Y,0,0,
93516,7,2023,Gas- Commercial,Y,0,0,
93516,8,2023,Gas- Commercial,Y,0,0,
93516,9,2023,Gas- Commercial,Y,0,0,
93523,7,2023,Gas- Commercial,Y,0,0,
93523,8,2023,Gas- Commercial,Y,0,0,
93523,9,2023,Gas- Commercial,Y,0,0,
93555,7,2023,Gas- Commercial,Y,611,"49,973",82
93555,8,2023,Gas- Commercial,Y,610,"52,492",86
93555,9,2023,Gas- Commercial,Y,607,"52,151",86
93561,7,2023,Gas- Commercial,Y,0,0,
93561,8,2023,Gas- Commercial,Y,0,0,
93561,9,2023,Gas- Commercial,Y,0,0,
93562,7,2023,Gas- Commercial,Y,0,0,
93562,8,2023,Gas- Commercial,Y,0,0,
93562,9,2023,Gas- Commercial,Y,0,0,
93608,7,2023,Gas- Commercial,Y,0,0,
93608,8,2023,Gas- Commercial,Y,0,0,
93608,9,2023,Gas- Commercial,Y,0,0,
93610,7,2023,Gas- Commercial,Y,0,0,
93610,8,2023,Gas- Commercial,Y,0,0,
93610,9,2023,Gas- Commercial,Y,0,0,
93611,7,2023,Gas- Commercial,Y,0,0,
93611,8,2023,Gas- Commercial,Y,0,0,
93611,9,2023,Gas- Commercial,Y,0,0,
93612,7,2023,Gas- Commercial,Y,0,0,
93612,8,2023,Gas- Commercial,Y,0,0,
93612,9,2023,Gas- Commercial,Y,0,0,
93616,7,2023,Gas- Commercial,Y,0,0,
93616,8,2023,Gas- Commercial,Y,0,0,
93616,9,2023,Gas- Commercial,Y,0,0,
93619,7,2023,Gas- Commercial,Y,0,0,
93619,8,2023,Gas- Commercial,Y,0,0,
93619,9,2023,Gas- Commercial,Y,0,0,
93620,7,2023,Gas- Commercial,Y,0,0,
93620,8,2023,Gas- Commercial,Y,0,0,
93620,9,2023,Gas- Commercial,Y,0,0,
93622,7,2023,Gas- Commercial,Y,0,0,
93622,8,2023,Gas- Commercial,Y,0,0,
93622,9,2023,Gas- Commercial,Y,0,0,
93625,7,2023,Gas- Commercial,Y,0,0,
93625,8,2023,Gas- Commercial,Y,0,0,
93625,9,2023,Gas- Commercial,Y,0,0,
93627,7,2023,Gas- Commercial,Y,0,0,
93627,8,2023,Gas- Commercial,Y,0,0,
93627,9,2023,Gas- Commercial,Y,0,0,
93630,7,2023,Gas- Commercial,Y,0,0,
93630,8,2023,Gas- Commercial,Y,0,0,
93630,9,2023,Gas- Commercial,Y,0,0,
93635,7,2023,Gas- Commercial,Y,807,"123,307",153
93635,8,2023,Gas- Commercial,Y,585,"80,669",138
93635,9,2023,Gas- Commercial,Y,590,"98,097",166
93636,7,2023,Gas- Commercial,Y,0,0,
93636,8,2023,Gas- Commercial,Y,0,0,
93636,9,2023,Gas- Commercial,Y,0,0,
93637,7,2023,Gas- Commercial,Y,0,0,
93637,8,2023,Gas- Commercial,Y,836,"252,779",302
93637,9,2023,Gas- Commercial,Y,0,0,
93638,7,2023,Gas- Commercial,N,318,"50,162",158
93638,8,2023,Gas- Commercial,Y,343,"63,882",186
93638,9,2023,Gas- Commercial,N,317,"55,973",177
93640,7,2023,Gas- Commercial,Y,0,0,
93640,8,2023,Gas- Commercial,Y,0,0,
93640,9,2023,Gas- Commercial,Y,0,0,
93650,7,2023,Gas- Commercial,Y,0,0,
93650,8,2023,Gas- Commercial,Y,0,0,
93650,9,2023,Gas- Commercial,Y,0,0,
93657,7,2023,Gas- Commercial,Y,0,0,
93657,8,2023,Gas- Commercial,Y,0,0,
93657,9,2023,Gas- Commercial,Y,0,0,
93660,7,2023,Gas- Commercial,Y,0,0,
93660,8,2023,Gas- Commercial,Y,0,0,
93660,9,2023,Gas- Commercial,Y,0,0,
93662,7,2023,Gas- Commercial,Y,0,0,
93662,8,2023,Gas- Commercial,Y,0,0,
93662,9,2023,Gas- Commercial,Y,"1,146","298,338",260
93668,7,2023,Gas- Commercial,Y,0,0,
93668,8,2023,Gas- Commercial,Y,0,0,
93668,9,2023,Gas- Commercial,Y,0,0,
93701,7,2023,Gas- Commercial,Y,0,0,
93701,8,2023,Gas- Commercial,Y,0,0,
93701,9,2023,Gas- Commercial,Y,0,0,
93702,7,2023,Gas- Commercial,Y,0,0,
93702,8,2023,Gas- Commercial,Y,0,0,
93702,9,2023,Gas- Commercial,Y,0,0,
93703,7,2023,Gas- Commercial,Y,0,0,
93703,8,2023,Gas- Commercial,Y,0,0,
93703,9,2023,Gas- Commercial,Y,0,0,
93704,7,2023,Gas- Commercial,Y,0,0,
93704,8,2023,Gas- Commercial,Y,0,0,
93704,9,2023,Gas- Commercial,Y,0,0,
93705,7,2023,Gas- Commercial,Y,0,0,
93705,8,2023,Gas- Commercial,Y,0,0,
93705,9,2023,Gas- Commercial,Y,0,0,
93706,7,2023,Gas- Commercial,Y,0,0,
93706,8,2023,Gas- Commercial,Y,0,0,
93706,9,2023,Gas- Commercial,Y,0,0,
93710,7,2023,Gas- Commercial,Y,0,0,
93710,8,2023,Gas- Commercial,Y,0,0,
93710,9,2023,Gas- Commercial,Y,0,0,
93711,7,2023,Gas- Commercial,Y,"12,611","2,549,350",202
93711,8,2023,Gas- Commercial,Y,"11,927","2,356,763",198
93711,9,2023,Gas- Commercial,Y,"11,624","2,365,242",203
93720,7,2023,Gas- Commercial,Y,0,0,
93720,8,2023,Gas- Commercial,Y,0,0,
93720,9,2023,Gas- Commercial,Y,0,0,
93721,7,2023,Gas- Commercial,Y,0,0,
93721,8,2023,Gas- Commercial,Y,0,0,
93721,9,2023,Gas- Commercial,Y,0,0,
93722,7,2023,Gas- Commercial,Y,0,0,
93722,8,2023,Gas- Commercial,Y,0,0,
93722,9,2023,Gas- Commercial,Y,0,0,
93723,7,2023,Gas- Commercial,Y,0,0,
93723,8,2023,Gas- Commercial,Y,0,0,
93723,9,2023,Gas- Commercial,Y,0,0,
93725,7,2023,Gas- Commercial,Y,0,0,
93725,8,2023,Gas- Commercial,Y,0,0,
93725,9,2023,Gas- Commercial,Y,0,0,
93726,7,2023,Gas- Commercial,Y,0,0,
93726,8,2023,Gas- Commercial,Y,0,0,
93726,9,2023,Gas- Commercial,Y,0,0,
93727,7,2023,Gas- Commercial,Y,0,0,
93727,8,2023,Gas- Commercial,Y,0,0,
93727,9,2023,Gas- Commercial,Y,0,0,
93728,7,2023,Gas- Commercial,Y,0,0,
93728,8,2023,Gas- Commercial,Y,0,0,
93728,9,2023,Gas- Commercial,Y,0,0,
93730,7,2023,Gas- Commercial,Y,0,0,
93730,8,2023,Gas- Commercial,Y,0,0,
93730,9,2023,Gas- Commercial,Y,0,0,
93737,7,2023,Gas- Commercial,Y,0,0,
93737,8,2023,Gas- Commercial,Y,0,0,
93737,9,2023,Gas- Commercial,Y,0,0,
93740,7,2023,Gas- Commercial,Y,0,0,
